WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.100.220:5000
Press CTRL+C to quit
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /assets/fonts/Inter-Regular.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /assets/fonts/Inter-ExtraBold.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /assets/fonts/Inter-Bold.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /assets/fonts/Inter-SemiBold.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /bird-image/White_Pelican/White_Pelican_0003_96691.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /bird-image/Cape_Glossy_Starling/Cape_Glossy_Starling_0002_129310.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /bird-image/Frigatebird/Frigatebird_0001_43101.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2026 21:50:35] "GET /bird-image/Common_Tern/Common_Tern_0001_149721.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2026 21:50:35] "GET /bird-image/Ruby_throated_Hummingbird/Ruby_Throated_Hummingbird_0001_58162.jpg HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2026 21:50:35] "GET /bird-image/Green_Jay/Green_Jay_0003_65767.jpg HTTP/1.1" 304 -
